step,learning_rate
0,1.000000012295474e-06
1,1.000000049181896e-06
2,1.0000001106592662e-06
3,1.0000001967275842e-06
4,1.000000307386849e-06
5,1.00000044263706e-06
6,1.0000006024782172e-06
7,1.0000007869103189e-06
8,1.0000009959333647e-06
9,1.0000012295473534e-06
10,1.0000014877522834e-06
11,1.0000017705481536e-06
12,1.0000020779349621e-06
13,1.0000024099127073e-06
14,1.000002766481388e-06
15,1.0000031476410013e-06
16,1.0000035533915459e-06
17,1.0000039837330188e-06
18,1.0000044386654187e-06
19,1.0000049181887422e-06
20,1.000005422302987e-06
21,1.0000059510081502e-06
22,1.000006504304229e-06
23,1.0000070821912209e-06
24,1.000007684669122e-06
25,1.0000083117379293e-06
26,1.0000089633976396e-06
27,1.0000096396482486e-06
28,1.0000103404897534e-06
29,1.0000110659221501e-06
30,1.000011815945434e-06
31,1.000012590559602e-06
32,1.000013389764649e-06
33,1.000014213560571e-06
34,1.0000150619473638e-06
35,1.0000159349250224e-06
36,1.000016832493542e-06
37,1.0000177546529178e-06
38,1.000018701403145e-06
39,1.0000196727442177e-06
40,1.0000206686761315e-06
41,1.0000216891988803e-06
42,1.000022734312459e-06
43,1.0000238040168612e-06
44,1.000024898312082e-06
45,1.0000260171981144e-06
46,1.0000271606749531e-06
47,1.0000283287425917e-06
48,1.0000295214010233e-06
49,1.000030738650242e-06
50,1.000031980490241e-06
51,1.0000332469210133e-06
52,1.0000345379425518e-06
53,1.00003585355485e-06
54,1.0000371937579006e-06
55,1.000038558551696e-06
56,1.0000399479362288e-06
57,1.000041361911492e-06
58,1.0000428004774767e-06
59,1.000044263634176e-06
60,1.0000457513815811e-06
61,1.000047263719685e-06
62,1.0000488006484782e-06
63,1.0000503621679534e-06
64,1.0000519482781016e-06
65,1.000053558978914e-06
66,1.0000551942703817e-06
67,1.000056854152496e-06
68,1.0000585386252477e-06
69,1.000060247688628e-06
70,1.0000619813426267e-06
71,1.0000637395872357e-06
72,1.0000655224224442e-06
73,1.0000673298482426e-06
74,1.0000691618646214e-06
75,1.0000710184715704e-06
76,1.0000728996690792e-06
77,1.0000748054571381e-06
78,1.0000767358357367e-06
79,1.0000786908048636e-06
80,1.000080670364509e-06
81,1.0000826745146617e-06
82,1.0000847032553106e-06
83,1.0000867565864454e-06
84,1.0000888345080537e-06
85,1.0000909370201245e-06
86,1.0000930641226472e-06
87,1.000095215815609e-06
88,1.000097392098999e-06
89,1.0000995929728046e-06
90,1.0001018184370146e-06
91,1.0001040684916161e-06
92,1.0001063431365972e-06
93,1.0001086423719453e-06
94,1.0001109661976477e-06
95,1.0001133146136923e-06
96,1.0001156876200656e-06
97,1.0001180852167547e-06
98,1.0001205074037469e-06
99,1.0001229541810285e-06
100,1.0001254255485866e-06
101,1.0001279215064077e-06
102,1.0001304420544778e-06
103,1.0001329871927829e-06
104,1.0001355569213099e-06
105,1.0001381512400438e-06
106,1.0001407701489715e-06
107,1.0001434136480776e-06
108,1.0001460817373487e-06
